Year,Material,Total_Waste,Unit,Conversion,Unit2,Ratio_Recycle,Ratio_Incineration,Ratio_Landfill,Factor_Recycle,Factor_Incineration,Factor_Landfill,Factor_Unit
2022,Syngas,92362.86,KL,0.6706,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,Naphtha,3996458.377,KL,0.6706,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,HSR Naphtha,2218829.634,KL,0.7367,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,VR,104803.282,KL,1.0693,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,SO,164077.229,KL,1.1198,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,AP-3,99910.696,KL,1.037,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,AP-5 PG 64-22,1337936.102,KL,1.0401,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,PMA,1990.63,KL,1.0216,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,박리방지 PMA ,3509.136,KL,1.0216,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,M-Sulfur,235282.91,KL,0.8431062499999998,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,Benzene,923625.301,KL,0.884,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,Toluene,296097.112,KL,0.872,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,Mixed Xylene,436296.412,KL,0.871,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
2022,Para Xylene,746025.727,KL,0.866,ton/kℓ,0.117,0.8733556882741746,0.009644311725825378,0.0186,0.47398589065255725,0.5731922398589064,kgCO2/kg
